,size,dim,cor
0,25.0,2.0,0.3007603175412893
1,25.0,5.0,0.313476214924508
2,25.0,13.0,0.3958298614957368
3,25.0,34.0,0.4802662250997929
4,25.0,88.0,0.5311660437201563
5,25.0,227.0,0.6261428386861435
6,25.0,585.0,0.6171745401797879
7,25.0,1507.0,0.5091866113932431
8,25.0,3882.0,0.4180695857814643
9,25.0,10000.0,0.3230889130505245
10,50.0,2.0,0.27637919060640587
11,50.0,5.0,0.3392242053340651
12,50.0,13.0,0.41474118238988106
13,50.0,34.0,0.5103545437427801
14,50.0,88.0,0.6142805270618213
15,50.0,227.0,0.6840653118587844
16,50.0,585.0,0.754785778334696
17,50.0,1507.0,0.7563402793055581
18,50.0,3882.0,0.6912423917740783
19,50.0,10000.0,0.4335075229423463
20,100.0,2.0,0.29251680150528814
21,100.0,5.0,0.3484175997827622
22,100.0,13.0,0.46622958808677956
23,100.0,34.0,0.5906693066842572
24,100.0,88.0,0.6736311415504964
25,100.0,227.0,0.7445338488038254
26,100.0,585.0,0.7881690318767219
27,100.0,1507.0,0.8364349868236676
28,100.0,3882.0,0.8417855874446772
29,100.0,10000.0,0.7295406063757287
