,size,dim,cor
0,25.0,2.0,0.267196209646061
1,25.0,5.0,0.24791680679645936
2,25.0,13.0,0.23913888530393984
3,25.0,34.0,0.23514971879199908
4,25.0,88.0,0.20000817092485615
5,25.0,227.0,0.21600847707693355
6,25.0,585.0,0.17420118194247283
7,25.0,1507.0,0.1663386240610681
8,25.0,3882.0,0.1742355153840483
9,25.0,10000.0,0.16881681421578015
10,50.0,2.0,0.23282445550330158
11,50.0,5.0,0.23496721903848616
12,50.0,13.0,0.2126534432276847
13,50.0,34.0,0.20626134346044778
14,50.0,88.0,0.17721146394381437
15,50.0,227.0,0.13707369119143484
16,50.0,585.0,0.12920634647874915
17,50.0,1507.0,0.12199707899730053
18,50.0,3882.0,0.10931693004373884
19,50.0,10000.0,0.11588415538306242
20,100.0,2.0,0.25004567478980083
21,100.0,5.0,0.2529782071266059
22,100.0,13.0,0.22486051168417653
23,100.0,34.0,0.20138868878379623
24,100.0,88.0,0.1585807813263489
25,100.0,227.0,0.12022542784188184
26,100.0,585.0,0.09509225616990166
27,100.0,1507.0,0.0879394919007252
28,100.0,3882.0,0.089577435783943
29,100.0,10000.0,0.08195848611153364
